test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Test Initialized,0,3708652168.357997,3.567533,5.540890,19.767306,0.000000,0.000000,0.000000,2.579972,3.267912,0.000000,0.000000,0.000000,2.579972,0.000000,0.000000,-30.442480,-28.742132,-23.137373,-8.808706,-6.594405,-3.833622,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.579972,2.579972,0.000000,0.000000,0.000000,0.000000,-1.700349,-7.305108,-5.604759
Connect Motor to UVW Terminals,1,3708652169.579669,2.123208,4.437198,9.421093,0.000000,0.000000,0.000000,7.579507,4.778265,0.000000,0.000000,0.000000,7.579507,0.000000,0.000000,34.556403,39.859402,41.747606,24.100622,25.631940,25.755478,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.579507,7.579507,0.000000,0.000000,0.000000,0.000000,-5.302999,-7.191203,-1.888204
Preparing to measure phase resistance,2,3708652170.914261,4.092562,5.948271,24.343668,0.000000,0.000000,0.000000,3.241620,1.800852,0.000000,0.000000,0.000000,3.241620,0.000000,0.000000,49.780622,49.297360,44.844592,21.972300,19.824111,18.900478,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.241620,3.241620,0.000000,0.000000,0.000000,0.000000,0.483263,4.936030,4.452768
Set LCR to measure resistance,3,3708652171.014228,0.708326,0.645548,0.457258,0.000000,0.000000,0.000000,5.076347,3.851007,0.000000,0.000000,0.000000,5.076347,0.000000,0.000000,50.288118,45.599029,42.276302,20.222702,18.276257,15.520816,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.076347,5.076347,0.000000,0.000000,0.000000,0.000000,4.689088,8.011816,3.322728
Preparing to measure resistance between U and V,4,3708652175.839389,0.110132,9.674794,1.065506,0.000000,0.000000,0.000000,8.248004,9.299076,0.000000,0.000000,0.000000,8.248004,0.000000,0.000000,38.297455,41.963148,44.738570,26.349371,26.908064,28.158443,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.248004,8.248004,0.000000,0.000000,0.000000,0.000000,-3.665693,-6.441114,-2.775421
Disconnect all LCR Relays,5,3708652175.839389,0.110132,9.674794,1.065506,0.000000,0.000000,0.000000,8.248004,9.299076,0.000000,0.000000,0.000000,8.248004,0.000000,0.000000,38.297455,41.963148,44.738570,26.349371,26.908064,28.158443,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.248004,8.248004,0.000000,0.000000,0.000000,0.000000,-3.665693,-6.441114,-2.775421
Wait 2 seconds for relays to settle,6,3708652178.856611,9.768248,0.726403,7.095682,0.000000,0.000000,0.000000,7.290270,1.052116,0.000000,0.000000,0.000000,7.290270,0.000000,0.000000,-35.642369,-40.431793,-44.600611,-25.017382,-26.206275,-26.198091,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.290270,7.290270,0.000000,0.000000,0.000000,0.000000,4.789424,8.958242,4.168818
Connect LCR to U and V,7,3708652178.955842,0.422440,1.095517,0.462790,0.000000,0.000000,0.000000,6.162643,1.761166,0.000000,0.000000,0.000000,6.162643,0.000000,0.000000,-41.400564,-43.004925,-47.332437,-26.234148,-26.687143,-28.066994,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.162643,6.162643,0.000000,0.000000,0.000000,0.000000,1.604362,5.931874,4.327512
Wait 2 seconds for relays to settle,8,3708652181.878517,0.794218,0.339521,0.269654,0.000000,0.000000,0.000000,0.313206,1.940731,0.000000,0.000000,0.000000,0.313206,0.000000,0.000000,32.163815,34.889648,39.182434,23.249158,24.104500,24.746896,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.313206,0.313206,0.000000,0.000000,0.000000,0.000000,-2.725833,-7.018619,-4.292786
Tare the LCR Meter,9,3708652181.977727,9.186730,2.707486,24.872941,0.000000,0.000000,0.000000,2.133986,3.312892,0.000000,0.000000,0.000000,2.133986,0.000000,0.000000,36.601147,39.431915,43.449292,24.317046,25.251032,27.752058,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,2.133986,2.133986,0.000000,0.000000,0.000000,0.000000,-2.830768,-6.848145,-4.017377
Measure U V Resistance,10,3708652182.984448,5.639803,9.788880,55.207358,0.000000,0.000000,0.000000,4.686444,2.828646,0.000000,0.000000,0.000000,4.686444,0.000000,0.000000,58.418230,56.618324,57.093955,28.831078,26.428545,26.143053,0.538089,3.640588,71.517268,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,4.686444,4.686444,0.000000,0.000000,0.000000,0.000000,1.799905,1.324275,-0.475631
Preparing to measure resistance between U and W,11,3708652185.597201,6.211621,4.571940,28.399160,0.000000,0.000000,0.000000,7.278630,4.834264,0.000000,0.000000,0.000000,7.278630,0.000000,0.000000,-52.862316,-54.466456,-56.403104,-29.282747,-30.002369,-30.453110,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,7.278630,7.278630,0.000000,0.000000,0.000000,0.000000,1.604140,3.540788,1.936648
