test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Test Initialized,0,3708650382.107321,8.800305,8.448643,74.350630,0.000000,0.000000,0.000000,7.912423,8.239890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-50.614067,-53.861607,-53.933683,-28.876791,-30.551439,-29.302256,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.247540,3.319617,0.072076
Connect Motor to UVW Terminals,1,3708650385.915567,4.499040,6.967637,31.347674,0.000000,0.000000,0.000000,4.655681,5.058569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.604292,56.167263,52.998544,27.114963,26.053341,24.303430,0.942553,3.836847,43.326981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.562971,2.605748,3.168719
Preparing to measure phase resistance,2,3708650396.137413,6.526694,1.893169,12.356137,0.000000,0.000000,0.000000,7.940025,4.446860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.116421,-21.148855,-16.418475,-5.716574,-2.162658,0.815388,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.967567,-8.697947,-4.730380
Set LCR to measure resistance,3,3708650396.137413,6.526694,1.893169,12.356137,0.000000,0.000000,0.000000,7.940025,4.446860,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.116421,-21.148855,-16.418475,-5.716574,-2.162658,0.815388,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.967567,-8.697947,-4.730380
Preparing to measure resistance between U and V,4,3708650406.176949,4.684202,9.509919,44.546384,0.000000,0.000000,0.000000,3.558006,9.206049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-17.660252,-22.752322,-27.481364,-16.778962,-17.588002,-20.554317,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.092070,9.821113,4.729042
Disconnect all LCR Relays,5,3708650406.176949,4.684202,9.509919,44.546384,0.000000,0.000000,0.000000,3.558006,9.206049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-17.660252,-22.752322,-27.481364,-16.778962,-17.588002,-20.554317,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.092070,9.821113,4.729042
Wait 2 seconds for relays to settle,6,3708650409.226272,0.564573,1.428833,0.806680,0.000000,0.000000,0.000000,4.501872,6.879436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.173270,24.142436,26.693217,16.119611,18.871342,20.165389,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.969166,-9.519947,-2.550781
Connect LCR to U and V,7,3708650409.226272,0.564573,1.428833,0.806680,0.000000,0.000000,0.000000,4.501872,6.879436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.173270,24.142436,26.693217,16.119611,18.871342,20.165389,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.969166,-9.519947,-2.550781
Wait 2 seconds for relays to settle,8,3708650412.267687,8.710763,9.747543,84.908537,0.000000,0.000000,0.000000,7.038521,4.166434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.409328,-16.431392,-24.722365,-15.167837,-17.191139,-18.305236,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.022064,10.313037,8.290973
Tare the LCR Meter,9,3708650412.267687,8.710763,9.747543,84.908537,0.000000,0.000000,0.000000,7.038521,4.166434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-14.409328,-16.431392,-24.722365,-15.167837,-17.191139,-18.305236,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.022064,10.313037,8.290973
