test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Test Initialized,0,3708646308.638209,1.118181,4.959889,5.546051,0.000000,0.000000,0.000000,4.723285,5.941097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.469033,46.823597,50.162619,27.365034,28.365178,29.995745,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.354565,-5.693586,-3.339021
Set Power Supply Voltage Setpoint,1,3708646308.638209,1.118181,4.959889,5.546051,0.000000,0.000000,0.000000,4.723285,5.941097,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.469033,46.823597,50.162619,27.365034,28.365178,29.995745,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.354565,-5.693586,-3.339021
Set Power Supply Current Limit,2,3708646308.844367,0.140991,9.381564,1.322719,10.000000,0.000000,0.000000,0.392853,0.520755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.494540,54.488765,54.748066,28.825300,30.426701,30.065944,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.994224,-4.253526,-0.259302
Set Power Supply Output Enabled,3,3708646309.044863,4.448780,9.545252,42.464720,10.000000,5.000000,0.000000,0.775926,2.087828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.957893,55.529891,58.055001,30.994279,30.988285,30.546511,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.428002,-2.097108,-2.525110
Set PWM Duty Cycle to EWP,4,3708646309.148175,1.012965,2.507900,2.540415,10.000000,5.000000,1.000000,0.305583,7.218844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.209914,57.818795,56.711243,30.115200,29.685771,29.687041,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.608881,-1.501329,1.107552
Dwell 15 seconds,5,3708646324.110573,7.375416,8.134304,59.993876,10.000000,5.000000,1.000000,8.712001,7.291073,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-46.693449,-47.065576,-48.992768,-28.402252,-29.331075,-30.040407,0.000000,0.000000,Inf,100.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.372126,2.299318,1.927192
Display a message to the user,6,3708646327.929586,6.443444,2.173496,14.004797,10.000000,5.000000,1.000000,2.121770,5.631936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.619275,56.813546,57.145053,28.255360,27.681673,26.123529,0.168532,3.881328,55.222507,100.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805728,0.474222,-0.331507
Connect LCR relays to UV configuration (0=UV | 1=UW | 2=VW),7,3708646327.929586,6.443444,2.173496,14.004797,10.000000,5.000000,1.000000,2.121770,5.631936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.619275,56.813546,57.145053,28.255360,27.681673,26.123529,0.168532,3.881328,55.222507,100.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805728,0.474222,-0.331507
Disconnect LCR relays from all phases,8,3708646327.929586,6.443444,2.173496,14.004797,10.000000,5.000000,1.000000,2.121770,5.631936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.619275,56.813546,57.145053,28.255360,27.681673,26.123529,0.168532,3.881328,55.222507,100.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.805728,0.474222,-0.331507
Tares the present reading on the LCR meter,9,3708646328.030957,0.825424,5.966786,4.925129,10.000000,5.000000,1.000000,6.862954,9.749845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.542127,55.671812,56.461755,28.617972,27.528429,25.011433,0.380087,3.486378,144.812640,100.000000,10.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.870315,1.080372,-0.789943
