test_comment,test_index,Timestamp,PSU_FB_U_VDC,PSU_FB_I_AMP,PSU_FB_W_WATT,PSU_CMD_U_VDC,PSU_CMD_I_AMP,PSU_CMD_OUTPUT,LCR_PRIMARY,LCR_SECONDARY,UV_R_mOhm,UW_R_mOhm,VW_R_mOhm,UV_L_µH,UW_L_µH,VW_L_µH,U_U_VDC,V_U_VDC,W_U_VDC,U_I_AMP,V_I_AMP,W_I_AMP,PWM_FB_DC_%,PWM_FB_VDC,PWM_FB_Hz,PWM_CMD_DC_%,PWM_CMD_VDC,PWM_CMD_Hz,DO_RELAY_U_LCR_A,DO_RELAY_V_LCR_A,DO_RELAY_V_LCR_B,DO_RELAY_W_LCR_B,DIFF_UV_UW_L_µH,DIFF_UV_VW_L_µH,DIFF_UW_VW_L_µH,DIFF_UV_UW_R_mOhm,DIFF_UV_VW_R_mOhm,DIFF_UW_VW_R_mOhm,DIFF_UV_U_VDC,DIFF_UW_U_VDC,DIFF_VW_U_VDC
Test Initialized,0,3708652345.297605,0.540270,1.984262,1.072038,0.000000,0.000000,0.000000,6.035089,9.820884,0.000000,0.000000,0.000000,6.035089,0.000000,0.000000,-55.524612,-53.275498,-52.466107,-26.680080,-24.901619,-22.487958,0.977180,4.110124,21.543631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.035089,6.035089,0.000000,0.000000,0.000000,0.000000,-2.249115,-3.058505,-0.809391
Connect Motor to UVW Terminals,1,3708652346.100852,4.586251,8.630673,39.582434,0.000000,0.000000,0.000000,8.768751,2.993113,0.000000,0.000000,0.000000,8.768751,0.000000,0.000000,-29.634256,-23.138067,-17.751912,-6.548305,-5.287916,-1.286946,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.768751,8.768751,0.000000,0.000000,0.000000,0.000000,-6.496189,-11.882344,-5.386155
Preparing to measure phase resistance,2,3708652346.904739,4.964115,5.448512,27.047037,0.000000,0.000000,0.000000,7.851261,1.460908,0.000000,0.000000,0.000000,7.851261,0.000000,0.000000,15.653094,22.382277,27.576458,15.878544,18.467167,21.141642,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.851261,7.851261,0.000000,0.000000,0.000000,0.000000,-6.729184,-11.923364,-5.194180
Set LCR to measure resistance,3,3708652346.904739,4.964115,5.448512,27.047037,0.000000,0.000000,0.000000,7.851261,1.460908,0.000000,0.000000,0.000000,7.851261,0.000000,0.000000,15.653094,22.382277,27.576458,15.878544,18.467167,21.141642,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.851261,7.851261,0.000000,0.000000,0.000000,0.000000,-6.729184,-11.923364,-5.194180
Preparing to measure resistance between U and V,4,3708652347.607541,0.882468,0.990448,0.874039,0.000000,0.000000,0.000000,8.155679,5.049888,8.155679,0.000000,0.000000,8.015271,0.000000,0.000000,47.772756,52.603493,55.061992,29.072335,30.538505,30.438544,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,8.155679,8.155679,0.000000,-4.830737,-7.289236,-2.458499
Disconnect all LCR Relays,5,3708652347.706828,4.993177,9.853497,49.200255,0.000000,0.000000,0.000000,7.663159,8.116554,7.663159,0.000000,0.000000,8.015271,0.000000,0.000000,53.309680,55.972620,55.623697,30.095579,30.696442,30.867653,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,7.663159,7.663159,0.000000,-2.662940,-2.314017,0.348923
Wait 2 seconds for relays to settle,6,3708652350.722207,8.695917,2.441145,21.227991,0.000000,0.000000,0.000000,9.331379,1.230151,9.331379,0.000000,0.000000,8.015271,0.000000,0.000000,-49.797731,-52.123006,-52.966443,-28.847193,-30.172856,-30.966746,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,9.331379,9.331379,0.000000,2.325275,3.168712,0.843437
Connect LCR to U and V,7,3708652350.722207,8.695917,2.441145,21.227991,0.000000,0.000000,0.000000,9.331379,1.230151,9.331379,0.000000,0.000000,8.015271,0.000000,0.000000,-49.797731,-52.123006,-52.966443,-28.847193,-30.172856,-30.966746,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,9.331379,9.331379,0.000000,2.325275,3.168712,0.843437
Wait 2 seconds for relays to settle,8,3708652353.735132,5.732043,9.811391,56.239317,0.000000,0.000000,0.000000,4.587821,2.917489,4.587821,0.000000,0.000000,8.015271,0.000000,0.000000,47.745598,50.082274,50.822256,28.719811,29.102089,29.777845,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,8.015271,8.015271,0.000000,4.587821,4.587821,0.000000,-2.336676,-3.076658,-0.739982
Tare the LCR Meter,9,3708652353.834886,0.492949,9.451775,4.659242,0.000000,0.000000,0.000000,3.387768,4.654719,3.387768,0.000000,0.000000,8.015271,0.000000,0.000000,49.554251,50.815340,53.221253,28.459484,29.432906,29.326809,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,8.015271,8.015271,0.000000,3.387768,3.387768,0.000000,-1.261089,-3.667002,-2.405913
Measure U V Resistance,10,3708652354.837252,8.062060,5.252291,42.344285,0.000000,0.000000,0.000000,4.475402,3.045457,4.475402,0.000000,0.000000,8.015271,0.000000,0.000000,50.518859,47.604578,46.127510,23.206384,20.792929,18.786595,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,8.015271,8.015271,0.000000,4.475402,4.475402,0.000000,2.914281,4.391349,1.477068
Preparing to measure resistance between U and W,11,3708652356.154459,0.173600,2.919792,0.506877,0.000000,0.000000,0.000000,-0.552426,5.458278,-0.552426,0.000000,0.000000,8.015271,0.000000,0.000000,-18.163162,-23.022374,-28.525645,-16.978794,-19.280480,-20.457276,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,8.015271,8.015271,0.000000,-0.552426,-0.552426,0.000000,4.859212,10.362483,5.503271
Disconnect all LCR Relays,12,3708652356.154459,0.173600,2.919792,0.506877,0.000000,0.000000,0.000000,-0.552426,5.458278,-0.552426,0.000000,0.000000,8.015271,0.000000,0.000000,-18.163162,-23.022374,-28.525645,-16.978794,-19.280480,-20.457276,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,8.015271,8.015271,0.000000,-0.552426,-0.552426,0.000000,4.859212,10.362483,5.503271
Wait 2 seconds for relays to settle,13,3708652359.167598,2.169265,7.962475,17.272720,0.000000,0.000000,0.000000,5.560595,6.437765,5.560595,0.000000,0.000000,8.015271,0.000000,0.000000,12.478460,18.005291,21.521739,15.050136,17.053288,19.054760,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,5.560595,5.560595,0.000000,-5.526831,-9.043279,-3.516448
Connect LCR to U and W,14,3708652359.372106,7.712599,2.603082,20.076523,0.000000,0.000000,0.000000,0.230972,0.140478,0.230972,0.000000,0.000000,8.015271,0.000000,0.000000,23.492583,28.919415,33.970472,19.828727,21.822022,22.523948,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.015271,8.015271,0.000000,0.230972,0.230972,0.000000,-5.426832,-10.477889,-5.051058
Wait 2 seconds for relays to settle,15,3708652362.381743,5.050132,8.733189,44.103755,0.000000,0.000000,0.000000,2.216634,1.331054,0.230972,2.216634,0.000000,8.015271,0.000000,0.000000,-20.345157,-22.199515,-26.921384,-16.947364,-19.711239,-20.358485,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-1.985661,0.230972,2.216634,1.854358,6.576226,4.721868
Tare the LCR Meter,16,3708652362.381743,5.050132,8.733189,44.103755,0.000000,0.000000,0.000000,2.216634,1.331054,0.230972,2.216634,0.000000,8.015271,0.000000,0.000000,-20.345157,-22.199515,-26.921384,-16.947364,-19.711239,-20.358485,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-1.985661,0.230972,2.216634,1.854358,6.576226,4.721868
Measure U W Resistance,17,3708652363.388883,9.100551,8.223897,74.841993,0.000000,0.000000,0.000000,0.721745,0.821265,0.230972,0.721745,0.000000,8.015271,0.000000,0.000000,-56.066168,-55.985588,-58.698667,-29.845251,-30.771842,-29.962709,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8.015271,8.015271,0.000000,-0.490773,0.230972,0.721745,-0.080581,2.632499,2.713080
Preparing to measure resistance between V and W,18,3708652364.894979,2.785068,1.131493,3.151286,0.000000,0.000000,0.000000,-0.738011,6.359738,0.230972,-0.738011,0.000000,8.015271,0.000000,0.000000,-14.272385,-11.368490,-6.324485,-0.393964,3.163856,4.405067,0.000000,0.000000,Inf,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,8.015271,8.015271,0.000000,0.968983,0.230972,-0.738011,-2.903896,-7.947901,-5.044005
